protein,symbol,entrez,contrast,log2FC,percentControl,Pvalue,FDR,Padjust,Tstatistic,SE,DF,isSingular
A2A432,Cul4b,72584,Mutant-Control,0.0053611409457881,1.00372297284165,0.837883757566686,0.94681800521278,1,0.20617513064932,0.0260028497564373,34.000072262137,FALSE
A2A4P0,Dhx8,217207,Mutant-Control,0.0194987586594637,1.01360725696049,0.818395178664303,0.938335123056206,1,0.231394637446582,0.0842662512607496,34.000012240858,FALSE
A2A559,Pgap3,320655,Mutant-Control,0.0313765196871954,1.02198676965735,0.534662059526088,0.804482729875574,1,0.6584864640827,0.0476494527961242,5.99998783263123,FALSE
A2A5R2,Arfgef2,99371,Mutant-Control,-0.00157678179467258,0.998907655188083,0.926736499171403,0.978251921991715,1,-0.0926359291517307,0.0170212768319075,34.0001413435853,FALSE
A2A5Z6,Smurf2,66313,Mutant-Control,-0.0526844719401183,0.964140649363778,0.532847275997196,0.803515698483142,1,-0.630090822294701,0.0836140919308251,34.0000095609374,FALSE
A2A690,Tanc2,77097,Mutant-Control,-0.018489558331912,0.987265789795838,0.256282555267534,0.578121053939909,1,-1.15465705901196,0.0160130301786172,33.997966078517,FALSE
A2A699,Fam171a2,217219,Mutant-Control,-0.0185608184356063,0.98721702625046,0.401715155172505,0.71200012376832,1,-0.849190719805555,0.0218570669729602,33.9990391497153,FALSE
A2A6A1,Gpatch8,237943,Mutant-Control,-0.0932082910723446,0.937435743117173,0.190685200137017,0.504741072263764,1,-1.33519065196855,0.0698089751713902,34.0000032507224,FALSE
A2A6Q5,Cdc27,217232,Mutant-Control,0.12765236952455,1.09251445609948,0.182690746490506,0.494119034175048,1,1.36028547214798,0.0938423383460665,34.0000080200289,FALSE
A2A6T1,Cdr2l,237988,Mutant-Control,-0.0539748515878742,0.963278685315291,0.365762782725879,0.681500826996779,1,-0.916688227277865,0.0588802713744391,34.0000146366824,FALSE
A2A7S8,C77080,97130,Mutant-Control,-0.00219269300378677,0.998481295427325,0.976803644078072,0.994104987261952,1,-0.0292911557115466,0.0748585349577862,34.0000114011829,FALSE
A2A891,Camta1,100072,Mutant-Control,-0.0601488453353936,0.95916515549698,0.133518707586379,0.425192838937534,1,-1.53712215592375,0.0391308167041849,33.9995861797294,FALSE
A2A8L5,Ptprf,19268,Mutant-Control,0.148863820988095,1.10869598652336,0.00980889844090209,0.0922015486234436,1,2.73617702213071,0.0544057711851451,34.0000105861441,FALSE
A2A8U2,Tmem201,230917,Mutant-Control,0.0172897000390142,1.01205640637305,0.747831220022312,0.908275025070983,1,0.325972553491475,0.0530403552502354,20.0000102662404,FALSE
A2A8Z1,Osbpl9,100273,Mutant-Control,-0.0715353786749011,0.951624698636554,0.0759518502821118,0.311482612052549,1,-1.83050507249854,0.0390795850553199,34.0000412387336,FALSE
