Accession,Symbol.1,BioFraction,Channel,Genotype,Mixture,Subject,Residuals,Symbol
A2A432,Cul4b,0.955964745665994,0,8.17402317091842e-12,0.00688017561813158,0.011052190062363,0.0261028886453371,Cul4b
A2A4P0,Dhx8,0.84841410050774,0,0,0.0226315471437531,2.53461278480156e-11,0.12895435232316,Dhx8
A2A5R2,Arfgef2,0.968765322995031,0,0,0.0115790518041957,0.00506936748911025,0.0145862577116635,Arfgef2
A2A5Z6,Smurf2,0.527671088898343,0,0,0.00573347335012863,0,0.466595437751528,Smurf2
A2A690,Tanc2,0.989409587062856,1.97937764911232e-12,0.000151507257437915,0,0,0.0104389056777267,Tanc2
A2A699,Fam171a2,0.981738559433691,0.00623131766319103,0,0,0,0.0120301229031176,Fam171a2
A2A6A1,Gpatch8,0.886001986911045,0,0,0.000766805857027282,0.0138667896154923,0.0993644176164358,Gpatch8
A2A6Q5,Cdc27,0.67769318067501,0,0.0217720964013395,0.23486630542076,0,0.0656684175028908,Cdc27
A2A6T1,Cdr2l,0.789966780579968,0,0.000816216883116977,0.0611166665469676,0,0.148100335989948,Cdr2l
A2A7S8,C77080,0.221990076880645,0.0190467483868873,0,0.501596077183206,0.0220516010525899,0.235315496496672,C77080
A2A891,Camta1,0.979466975736802,0,0.00122799861812797,0,0,0.0193050256450701,Camta1
A2A8L5,Ptprf,0.812202540809428,0.0230009639657245,5.18613348285521e-06,0.00681908262810624,0.121036212440916,0.0369360140223424,Ptprf
A2A8Z1,Osbpl9,0.455004510625204,0,0.0543898858951853,0.229034721230192,0,0.261570882249419,Osbpl9
A2A9C3,Szt2,0.978201700706115,0.00470742423609948,0.000509589443069591,3.26839202582092e-09,0.00490943405741008,0.0116718482889141,Szt2
A2A9Q0,Fndc10,0.764655579176713,1.76430637158905e-10,0,0,0.00141441220185258,0.233930008445004,Fndc10
A2AAE1,4932438A13Rik,0.969486322148009,0,0,0.00625819841895173,0.00195264363308696,0.0223028357999526,4932438A13Rik
A2AAY5,Sh3pxd2b,0.839842724018643,0,0.0215943986562309,0.0675700110636342,8.87197800870107e-11,0.0709928661727725,Sh3pxd2b
A2AB59,Arhgap27,0.579141247375544,0.0269620186221282,0.0848698993878119,0.0708097011843093,0,0.238217133430206,Arhgap27
A2ABV5,Med14,0.956080024888263,1.06282349479413e-10,0.00287821734854239,0.00852202737993628,0.00409835733660496,0.0284213729403712,Med14
A2ACP1,Ttc39a,0.444462515254959,0.0272795351611649,1.37989651562066e-09,0.0330800038698226,0.16664665784668,0.328531286487478,Ttc39a
A2ADY9,Ddi2,0.742333969748623,0,0,0.0704375917904308,0.0543133797215035,0.132915058739443,Ddi2
A2AF47,Dock11,0.804568290583949,0.0177774506662935,0,0.085064736817043,0.0011333880158315,0.0914561339168835,Dock11
A2AFR3,Frmpd4,0.771144183973212,0.0273858203558048,0,0.00861986274942865,0,0.192850132921554,Frmpd4
A2AFS3,5330417C22Rik,0.956218604744963,0.00131484108547307,1.12969435007205e-11,0,0.00735832919470489,0.0351082249635619,5330417C22Rik
