Protein,Symbol,Label,log2FC,SE,DF,pvalue,adj.pvalue
A2A432,Cul4b,Mutant-Control,0.00555599501606528,0.0260023792951624,28.7417871296281,0.832310940488165,0.938451773209219
A2A4P0,Dhx8,Mutant-Control,0.0196936127297433,0.0816287456254576,28.7417096410268,0.811067802964791,0.927734272838172
A2A5R2,Arfgef2,Mutant-Control,-0.00138192772439684,0.0168104426721381,28.7419835138349,0.9350523301599,0.979106845077333
A2A5Z6,Smurf2,Mutant-Control,-0.052489617869839,0.0868545050179209,28.7416102617397,0.550359108055711,0.794971687647729
A2A690,Tanc2,Mutant-Control,-0.0182947042616356,0.0193242914198425,30.7419075105783,0.351163874991335,0.640815591859803
A2A699,Fam171a2,Mutant-Control,-0.0183659643653298,0.0208765529298727,30.7418685874427,0.385825006432136,0.669917858182009
A2A6A1,Gpatch8,Mutant-Control,-0.0930309268562051,0.0707741456310459,28.7417120212976,0.199079525056735,0.480047966400202
A2A6Q5,Cdc27,Mutant-Control,0.127847223594829,0.0446271153076842,28.7417131363339,0.00771900566653506,0.0639522369711978
A2A6T1,Cdr2l,Mutant-Control,-0.0538019961726956,0.0520370965540222,28.7417204871105,0.309796956481981,0.602325409258166
A2A7S8,C77080,Mutant-Control,-0.00196187295620551,0.0398824843721382,28.7417370562885,0.961107063837191,0.988016928577696
A2A891,Camta1,Mutant-Control,-0.0599539912651157,0.0389377496978873,30.7417411661916,0.133855087011269,0.386655522563401
A2A8L5,Ptprf,Mutant-Control,0.149058675058376,0.0421653912627583,28.7417316734526,0.0014021277289906,0.0195624860748769
A2A8U2,Tmem201,Mutant-Control,0.0177980771736661,0.0424672500730782,15.7417242775823,0.680805094135447,0.864819218760797
A2A8Z1,Osbpl9,Mutant-Control,-0.0713511067765745,0.0294437974519332,28.7417645780027,0.0219125574267382,0.127491243210113
A2A9C3,Szt2,Mutant-Control,0.0493127199392986,0.0240632394081361,28.7418049764541,0.0496587367870743,0.214557221393448
A2A9Q0,Fndc10,Mutant-Control,-0.00212779352563784,0.065840965715023,30.7417153364659,0.974428033628286,0.993271691753287
A2AAE1,4932438A13Rik,Mutant-Control,0.00661099996531994,0.0278042010488918,28.7417844650947,0.813746484220328,0.928474889421166
A2AAY5,Sh3pxd2b,Mutant-Control,0.0943923906063963,0.0362156900396576,28.7417418893563,0.0143479114709998,0.0963340042557215
A2AB59,Arhgap27,Mutant-Control,-0.114663942345373,0.0336830709378334,28.7417486323372,0.00197432938343841,0.0248160752772367
A2ABV5,Med14,Mutant-Control,-0.133599758937261,0.0667287871487824,28.7417127239633,0.0547872750157935,0.228154235890916
A2ACP1,Ttc39a,Mutant-Control,-0.11468749667197,0.0498346556056259,28.7417220464216,0.0288191897286862,0.152305051172208
A2ADY9,Ddi2,Mutant-Control,0.0583381142519935,0.0412841421627429,28.7417326603358,0.168368700169441,0.442387966998878
A2AF47,Dock11,Mutant-Control,0.0257774989680482,0.0290578826515145,28.7417669713368,0.382383666944804,0.667210720511994
A2AFR3,Frmpd4,Mutant-Control,0.000628586896413923,0.0308844096623263,28.7417583130703,0.983902506479823,0.996481747468227
A2AFS3,5330417C22Rik,Mutant-Control,-0.013370423751593,0.0406659211728214,28.7417332794976,0.74470043538049,0.892782134584879
A2AG50,Map7d2,Mutant-Control,-0.120680278662843,0.0227936765184522,28.741820192759,1.14868222719581e-05,0.000503975296661508
A2AGB2,Gm12695,Mutant-Control,0.028594770078157,0.0752837991526431,30.7417122373415,0.706685795203355,0.876336390862023
A2AGH6,Med12,Mutant-Control,-0.0822461133732431,0.0818191991982279,28.7417093715596,0.323180334458855,0.616490569643143
A2AGL3,Ryr3,Mutant-Control,-0.0346143854125208,0.0314503632791794,28.7417561002335,0.280201824786503,0.568553789910019
A2AGT5,Ckap5,Mutant-Control,-0.0274455306555437,0.0523677990326967,28.741720431426,0.604233268176903,0.826426571053756
A2AHC3,Camsap1,Mutant-Control,-0.00111001481122908,0.0208359073299065,28.7418486057207,0.957882061721034,0.986810035983728
A2AHG0,Lzts3,Mutant-Control,-0.071330405449839,0.0278497069252025,28.741769654286,0.0159469956070772,0.103484875679042
A2AHL1,Ano3,Mutant-Control,0.144722589274365,0.0329297519797627,28.7417509714566,0.000137914010111366,0.0035501407178483
A2AI08,Tprn,Mutant-Control,0.0152315745836454,0.0396046071629473,15.7417283681899,0.70568649453204,0.876336390862023
A2AIV2,Virma,Mutant-Control,-0.046511049582096,0.0381362514583941,28.7417378987188,0.232529762387409,0.518914786441
A2AJ15,Man1b1,Mutant-Control,-0.153781435830058,0.0505529749893258,16.7417190322134,0.00746295393447355,0.0625724436263238
A2AJ88,Pnpla7,Mutant-Control,-0.0479659408423911,0.0429487568843437,30.7417338592581,0.272725298059014,0.560130397840111
A2AJA9,Ajm1,Mutant-Control,-0.0744475600915088,0.0246330795434163,28.7418000401741,0.0052303193518215,0.0499817915045298
A2AJI0,Map7d1,Mutant-Control,-0.00512425464442939,0.0241608716938041,28.7418081396087,0.833534509097367,0.938708386343289
A2AJL3,Fggy,Mutant-Control,-0.192272608652207,0.0818308650349395,30.7417106893124,0.0253964892711928,0.141055660155924
A2AJQ3,Dpy19l4,Mutant-Control,-0.0448524324378085,0.0838536766690211,15.7417068795118,0.600201208682283,0.824537934574164
A2AJT4,Pnisr,Mutant-Control,-0.0447493858091841,0.0404020186672263,28.7417334957697,0.277216929462881,0.565115503027675
A2AKB4,Frmpd1,Mutant-Control,0.0323387496699996,0.184272508041352,15.7417033340197,0.862928915005058,0.950195754777915
A2AKG8,Focad,Mutant-Control,0.0349880242717722,0.0311291163057486,30.7417657874434,0.269728466585995,0.556035987855763
A2AKQ0,Slc35d1,Mutant-Control,0.0859287166069425,0.0846910330643877,16.7417078602342,0.324729583982807,0.617756634268902
A2AKX3,Setx,Mutant-Control,0.106880837737327,0.0640410751508256,27.7516634836064,0.10637372970249,0.340646475133729
A2ALK8,Ptpn3,Mutant-Control,-0.123222787143423,0.0374032288625226,28.741739925867,0.00262255610736051,0.0303398862436931
A2ALS5,Rap1gap,Mutant-Control,0.0528721848785712,0.0256732009584845,28.7417891435294,0.0486137773678463,0.212088624714256
A2ALU4,Shroom2,Mutant-Control,0.133600665923795,0.0404161866399857,28.7417025243199,0.00254814409727255,0.0296264220376222
A2AN08,Ubr4,Mutant-Control,0.0117595758268011,0.0168593934704282,28.7419812109072,0.491088700470506,0.755163687843515
A2ANU3,Syndig1,Mutant-Control,-0.119863890972123,0.0463677016924501,28.7417252161243,0.0150838781661883,0.0996450133402742
A2AP18,Plch2,Mutant-Control,0.0457025112657787,0.0223029157076847,28.7418252247099,0.049671719115599,0.214557221393448
A2APV2,Fmnl2,Mutant-Control,-0.0191403744315658,0.0279777371016136,30.7417832622751,0.499019008377669,0.760877965279757
A2APX8,Scn1a,Mutant-Control,0.00362847583425031,0.0547839622733257,28.741718686033,0.947651336237134,0.983031051943862
A2APY7,Ndufaf5,Mutant-Control,-0.00190758876255704,0.174411620740636,28.7417034520647,0.991349053298482,0.99767408481316
A2AQ07,Tubb1,Mutant-Control,-0.0122280207430225,0.135500193827341,9.76053944399981,0.929918645809198,0.977739129975599
A2AQ19,Rtf1,Mutant-Control,0.0703603047037782,0.0571300246494539,28.7417177760716,0.228087333907272,0.51388890318626
A2AQ25,Etl4,Mutant-Control,0.011198229377483,0.0303538772006228,30.7417694904006,0.714714245678444,0.87954011190357
A2AR02,Ppig,Mutant-Control,-0.0391955451139322,0.030470898877127,28.7417609288184,0.208594606947155,0.491274806908627
A2AR50,Ralgps1,Mutant-Control,0.0280113112342061,0.0342919296545371,28.741747076346,0.420734440627293,0.701827703925394
A2ARP1,Ppip5k1,Mutant-Control,0.0623914029993273,0.0288628939380255,28.741769257694,0.0391142313482298,0.186380381069161
A2ARS0,Ankrd63,Mutant-Control,-0.129072063747275,0.0395148163903964,28.7417352181962,0.00281835322653425,0.0320731355763506
A2ARZ3,Fsip2,Mutant-Control,0.0034457754803785,0.0650590707037349,28.7417137790348,0.95812716955476,0.986810035983728
A2ASQ1,Agrn,Mutant-Control,0.036102392957897,0.0212715693465663,28.7418444114685,0.100461086794371,0.329331081521397
A2ASZ8,Slc25a25,Mutant-Control,-0.130953360819557,0.101095193533201,28.7417065492911,0.205508572515939,0.487746112831202
A2AWA9,Rabgap1,Mutant-Control,0.0594181783574771,0.0215569599126044,28.7418385894642,0.0100429139691999,0.0776711395223265
A2AWP8,Arhgef10l,Mutant-Control,0.000103474954675572,0.030145170335379,28.7417621965452,0.997284937155353,0.999450163914472
A2BDX3,Mocs3,Mutant-Control,-0.056987007703436,0.0155827440276637,28.7420724472993,0.00101599644542985,0.0157502026740414
A2BE28,Las1l,Mutant-Control,0.0171203161827288,0.0634196382464532,28.7417141429595,0.789125347329056,0.917642677607517
A2CG49,Kalrn,Mutant-Control,-0.0514377125222178,0.0248402192442895,30.7418095434113,0.0468692035701228,0.208254499430049
A2RSJ4,Uhrf1bp1l,Mutant-Control,0.0987274115155906,0.0326803576660759,28.7419786122911,0.0052467519863453,0.0500447386620114
A2RSQ0,Dennd5b,Mutant-Control,-0.0339995005570916,0.0258896945095168,28.7417882241508,0.199488706060439,0.480330865921616
A2RSX7,Tyw5,Mutant-Control,-0.0222811636863052,0.0337838667714964,28.7417480600732,0.514811616410076,0.773089904486595
A2RSY6,Trmt1l,Mutant-Control,-0.0834492563173718,0.0828111766966479,28.7417095127795,0.322004833233543,0.615932469601644
A2RT62,Fbxl16,Mutant-Control,-0.0933662390943967,0.0326201351279428,28.7417522874972,0.00776748420109148,0.0642013860033343
A2RTL5,Rsrc2,Mutant-Control,0.0153851486729354,0.0419536218465364,28.7417317171314,0.716515409230252,0.880355991530358
A2TJV2,Palm3,Mutant-Control,-0.129479105410459,0.0764976880564337,27.7417117277577,0.10173706164915,0.332420488086403
A3KFM7,Chd6,Mutant-Control,0.0891870748251494,0.0458704938898346,15.7417202763523,0.0699492197532175,0.265342989123679
A3KFX0,Nt5c1a,Mutant-Control,-0.0472311305753564,0.0351035606176731,28.7417483326965,0.188989824886574,0.465863257388247
A3KGB4,Tbc1d8b,Mutant-Control,0.0468889271463283,0.0395125848012431,28.7417351034266,0.245069054028606,0.532586205888958
A3KGF9,Ccdc9b,Mutant-Control,0.11994575008111,0.0452538728093641,28.7417265956625,0.0129299216329782,0.0904705449464954
