protein,Symbol,Entrez,contrast,log2FC,percentControl,Pvalue,Tstatistic,SE,DF,R2m,R2c,FDR
Q8C2E7,Washc5,223593,Mutant-Control,-1.30105465978676,0.405829414425889,4.97608901304471e-26,-29.9640967997538,0.0434204531003068,34.0000337971154,0.91461722762202,0.95823419549191,3.44196077032302e-22
Q8VDD8,Washc1,68767,Mutant-Control,-1.87339060108232,0.272931231928179,7.7579530187808e-22,-22.2377526923622,0.0842437015555871,34.0000098337243,0.884443772132369,0.926671585860998,2.68308805154534e-18
Q3UMB9,Washc4,319277,Mutant-Control,-1.51672700044268,0.349477868009444,1.55631167579735e-21,-21.7566356175771,0.0697133061886337,34.0000132515268,0.877121432398598,0.924026855260814,3.25647470595861e-18
Q6PGL7,Washc2,28006,Mutant-Control,-1.067536923981,0.477132900738056,1.88317172529051e-21,-21.6264739714174,0.0493625047426551,34.0000273905653,0.762766396208356,0.933134210796089,3.25647470595861e-18
P35282,Rab21,216344,Mutant-Control,-0.544877973986796,0.685449376708305,4.82564211892543e-18,-16.8095970512442,0.032414695743493,34.0000475704201,0.38564484390146,0.944042696278477,6.67579330732145e-15
P08113,Hsp90b1,22027,Mutant-Control,-0.81285436002397,0.56925447784161,1.74823696642428e-17,-16.1106605739977,0.0504544401696291,34.0001123101554,0.171297013264144,0.972941298502596,2.01542584945946e-14
Q8K4Z0,Lgi2,246316,Mutant-Control,-0.447772603089411,0.733173932016325,1.82517431271122e-15,-13.7689781129871,0.0325203947173876,34.0000358393245,0.136838032005771,0.9704071183609,1.80353296014622e-12
Q9CR27,Washc3,67282,Mutant-Control,-1.07345893959936,0.475178366301338,5.21457090626645e-12,-10.3169786454709,0.104047800861796,34.0000054568382,0.677464337105061,0.739045234886906,4.50864836983063e-09
P08003,Pdia4,12304,Mutant-Control,0.3559636208471,1.27984014085114,1.29918792577658e-11,9.95799771242234,0.0357465055854597,33.9999830451894,0.0470710093020501,0.980537737629669,9.98498098066292e-09
Q60963,Pla2g7,27226,Mutant-Control,0.271616284239121,1.20715947877033,1.85237220193758e-11,9.82024694490097,0.0276588038735782,34.0000887622143,0.199668631237743,0.915111496068658,1.28128585208022e-08
P20060,Hexb,15212,Mutant-Control,0.210317886671603,1.15694307926354,3.54249577108632e-11,9.57092539248932,0.0219746657764825,34.0002597476948,0.0646663044568032,0.971056300691638,2.0827233809641e-08
P20029,Hspa5,14828,Mutant-Control,0.401604526822022,1.32097624853658,3.65768695072453e-11,9.55871589968023,0.0420144851083457,34.0001359548862,0.0533118235227405,0.976077405064558,2.0827233809641e-08
P41234,Abca2,11305,Mutant-Control,-0.409501986122178,0.752883221819317,3.91432759180761e-11,-9.53284787692375,0.0429569412424448,34.0000349402963,0.0952544137398978,0.957024232669154,2.0827233809641e-08
P11276,Fn1,14268,Mutant-Control,0.540953240943177,1.45493352715329,1.47422803984906e-10,9.03330320028255,0.0598843223734875,34.0000164742845,0.407071496781191,0.795467947818253,7.28373953688281e-08
P39053,Dnm1,13429,Mutant-Control,-0.101998539889788,0.931741372292976,2.60954195214548e-10,-8.82179173926326,0.0115621115193438,34.0006411444451,0.0346289902706312,0.981756419254378,1.20334677886602e-07
O54901,Cd200,17470,Mutant-Control,-0.209473103225717,0.864853032678085,2.80184959588277e-10,-8.79562073017755,0.0238156134344243,34.0005269240278,0.0235127083997602,0.987538981918434,1.21127460342007e-07
O88398,Avil,11567,Mutant-Control,-0.650485644856111,0.637065826320172,3.05027256937339e-10,-11.4607230845541,0.0567578188616031,20.0000167264941,0.585676697645471,0.87960798844393,1.24110208013857e-07
P08074,Cbr2,12409,Mutant-Control,0.471301180333438,1.38635927499201,5.38579294733043e-10,8.55652669561301,0.0550808987220336,34.0000048962161,0.174552152369579,0.902250612267751,2.06964054537137e-07
P09470,Ace,11421,Mutant-Control,-0.341263498100112,0.789349704363446,5.70402743630373e-10,-8.5356369175734,0.0399810232552781,34.0000786890112,0.0670367149633846,0.962275393826184,2.07656619878489e-07
Q9D2R0,Aacs,78894,Mutant-Control,0.192980059697476,1.14312253556302,6.57278843881244e-10,8.48414848732356,0.0227459549989977,34.0001141325708,0.202108130290739,0.884879910253344,2.27319888156328e-07
O70362,Gpld1,14756,Mutant-Control,0.304928470003174,1.23535738558172,7.88130294117824e-10,8.41839242198246,0.0362216982433525,34.0000501827228,0.374366060443024,0.783418182901219,2.59595106876809e-07
P70663,Sparcl1,13602,Mutant-Control,0.21459000953253,1.16037410807328,1.94064375876126e-09,8.09480482938009,0.0265095964702787,33.9999270822697,0.0344439722758063,0.978448161524573,6.10156039970529e-07
Q9ESP1,Sdf2l1,64136,Mutant-Control,0.411184530506596,1.32977718484943,2.12367485774738e-09,8.0626723157262,0.0509985417247559,34.0001089377614,0.0508178487645886,0.967948960887794,6.38672130045158e-07
Q91WA3,Hdac11,232232,Mutant-Control,-0.144574264575054,0.90464629686379,2.60020207815616e-09,-7.99070398580814,0.0180928069456489,33.9998920363271,0.0397021263748115,0.974506612991678,7.43372412094267e-07
P28798,Grn,14824,Mutant-Control,0.636968639346544,1.55505826824315,2.6867587541357e-09,7.97907166688843,0.0798299183086471,34.0000060093948,0.213831458660705,0.862294678495877,7.43372412094267e-07
Q9JJ59,Abcb9,56325,Mutant-Control,-0.207050366943309,0.866306611631496,3.48069283737497e-09,-7.88736357752523,0.0262508967550693,34.0000843424271,0.0432077197170425,0.971523836190307,9.2599816754318e-07
