Protein,Symbol,Entrez,Mixture,Genotype,BioFraction,Residuals,R2.fixef,R2.total
Q8C2E7,Washc5,223593,0.000456360839445282,0.913089745653324,0.0443198907482906,0.0421340027589401,0.974595945787465,0.976307257350105
Q8VDD8,Washc1,68767,0.00705351963356291,0.880787216250603,0.0436385614120673,0.0685207027037673,0.923219617692718,0.9298347234992
Q3UMB9,Washc4,319277,0.013421900237339,0.872069180312968,0.0489915131022608,0.0655174063474318,0.935142291105874,0.94934629533883
Q6PGL7,Washc2,28006,1.3850031741638e-11,0.764475506782659,0.16860425179693,0.0669202414065608,0.940819331128607,0.940819331128607
Q9CR27,Washc3,67282,0.020712074242695,0.669687148688123,0.0641780862184121,0.24542269085077,0.733822336244639,0.751994982077774
Q19LI2,A1bg,117586,0.218647862105609,0.517003608526692,0,0.264348529367699,0.48038953601253,0.702705378426234
P27573,Mpz,17528,0.340595122808283,0.469643357145343,0.103693075245451,0.086068444800923,0.524535953155192,0.922171369921119
O89029,Matn4,17183,0.148515046097138,0.468603265970406,0.141887686369733,0.240994001562724,0.582794449579252,0.736139777260607
O55103,Prx,19153,0.339608935727141,0.461640430755593,0.0619768518091075,0.136773781708158,0.496577024727365,0.887344260358486
P20852,Cyp2a5,13087,0.0576396098927518,0.432613704852444,0.260953055431017,0.248793629823787,0.779694403329562,0.847698609674374
P11276,Fn1,14268,0,0.426708983982665,0.370511468263278,0.202779547754057,0.816093114546589,0.816093114546589
P35282,Rab21,216344,0.0125355563309381,0.421465939737384,0.521994042219585,0.0440044617120931,0.94306950119017,0.957172366322481
Q9R118,Htra1,56213,0.270335613314461,0.42055447821796,0.241190009885118,0.0679198985824612,0.618395097685693,0.939031821556819
O70362,Gpld1,14756,0.0769396120540325,0.398309552846503,0.38621198074752,0.138538854351945,0.776123329763413,0.860885799235234
Q8K0E8,Fgb,110135,0.0791544251203503,0.377829678741342,0.313087035801009,0.2299288603373,0.648174918329922,0.727443948663082
Q8VCM7,Fgg,99571,0.146188633278524,0.364287728546716,0.387882386295985,0.101641251878776,0.707339399855371,0.872270779373068
E9PV24,Fga,14161,0.0881434365123986,0.356425429016085,0.422804441523414,0.132626692948103,0.744782514016057,0.840214092218473
P04370,Mbp,17196,0.221795699364979,0.336031061360981,0.147418972118658,0.294754267155382,0.437488511475466,0.671397626855707
Q62000,Ogn,18295,0.151522541269993,0.294242463782599,0.260294329809627,0.29394066513778,0.516481749561339,0.675042037595056
P46660,Ina,226180,0.202931417114366,0.287924381845988,0.0101307395386929,0.499013461500953,0.2939872025637,0.491219899379198
O88745,Scrg1,20284,0.0519313267778329,0.28625572423097,0.443753438115447,0.218059510875751,0.722640858303399,0.777632859847833
P28654,Dcn,13179,0.0270843497805015,0.280286417852856,0.377212420743343,0.315416811623299,0.635545714039713,0.660100087171636
P55065,Pltp,18830,0.0152218859088866,0.265044742668249,0.551736297847336,0.167997073575529,0.811448652834047,0.827611127580085
P28798,Grn,14824,0,0.254908959660655,0.606917460111902,0.138173580227443,0.876514288939598,0.876514288939598
P49813,Tmod1,21916,0.143036752409938,0.252400423047152,0.260777503066855,0.343785321476055,0.482627095638069,0.630225119659741
O09159,Man2b1,17159,0.0515354191789288,0.251643320958935,0.568105238022042,0.128716021840094,0.794625526427948,0.849774006937909
Q60963,Pla2g7,27226,0,0.24598779527726,0.668676098214181,0.0853361065085593,0.915477860523017,0.915477860523017
Q9D2R0,Aacs,78894,0,0.245613725262915,0.638645937646201,0.115740337090884,0.8602701486297,0.8602701486297
Q8R1X6,Spg20,229285,0.129872710269615,0.242916517320614,0.488871393952413,0.138339378457358,0.702445568588744,0.84961271133923
P28665,Mug1,17836,0.0191722075521021,0.240825109364112,0.518690499543961,0.221312183539824,0.734292857752446,0.752273416822973
P07759,Serpina3k,20714,0.00652970136308619,0.240771121717582,0.517892035622499,0.234807141296832,0.720937364890224,0.724544028193765
Q9JHG0,Cbln3,56410,0.288761944850439,0.226984501325077,0.224083541671573,0.260170012152911,0.39437545975282,0.715029781144271
Q3UHD6,Snx27,76742,8.02118822582954e-11,0.223679661484342,0.621928475156866,0.15439186327858,0.837905953227414,0.837905953227414
P08113,Hsp90b1,22027,0,0.222761491709124,0.749839251191361,0.0273992570995144,0.983115751233272,0.983115751233272
Q9R062,Gyg,27357,0.00484668542094395,0.221662088024335,0.483465591042152,0.290025635512569,0.751533176455225,0.760071480670182
P08074,Cbr2,12409,1.99400249057368e-10,0.219874276139914,0.681163268876678,0.0989624547840081,0.92166197760672,0.924564952587084
P01029,C4b,12268,0.0265048846259468,0.219768838777931,0.557982780537733,0.19574349605839,0.739804194509312,0.764759224833133
Q91YH5,Atl3,109168,0.0550203440632345,0.218970932070149,0.615279009760803,0.110729714105814,0.820257941124427,0.880844333036141
P63037,Dnaja1,15502,0,0.218302510453561,0.599957544232916,0.181739945313523,0.823759370696716,0.823759370696717
Q9CRB6,Tppp3,67971,0.200566464004271,0.216124310836273,0.453558276921853,0.129750948237604,0.626907551031947,0.860829421291077
Q8BJD1,Itih5,209378,0,0.209221057700805,0.215320940789601,0.575458001509594,0.501878908348823,0.501878908348823
Q9D8S3,Arfgap3,66251,0.224809070719379,0.208746185815962,0.445827046912054,0.120617696552605,0.596716632031348,0.859574546972698
Q8K3C0,Rnasek,52898,0.0192132427521169,0.198367988875193,0.398036317930955,0.384382450441735,0.592503453632225,0.609562201003709
Q8VHX6,Flnc,68794,0.284894248683735,0.192156667613538,0.089813875092945,0.433135208609782,0.303020198942585,0.610673682657264
P08226,Apoe,11816,0.0114213541315798,0.192133400427145,0.696581939285973,0.0998633061553024,0.886328878312861,0.89884754875293
Q9ERS5,Plekha2,83436,0.235402849732145,0.189304030206036,0.332556458438019,0.2427366616238,0.463861522588373,0.726147426089016
Q8K4Z0,Lgi2,246316,0.00447346841885419,0.186738070444862,0.782222137893162,0.0265663232431216,0.963959439588489,0.968611117064688
P22599,Serpina1b,20701,0.00299332766033546,0.183676467270253,0.669711387128865,0.143618817940547,0.826895775507671,0.828271994427482
Q7TQD2,Tppp,72948,0.107004604790345,0.183479223681647,0.52504285577667,0.184473315751339,0.670499757286785,0.786819762186192
Q64299,Ccn3,18133,0.0419132024917089,0.182940665445754,0.260064181234656,0.515081950827881,0.429080493884416,0.463954342289632
Q99JP6,Homer3,26558,0.215663708551329,0.182593296913233,0.426404609669329,0.17533838486611,0.572766371050726,0.822718514062794
